DBMS,Database Model,May 2025 Score,Apr 2025 Score Change,May 2024 Score Change
Firebolt,Relational,0.84,-0.10,-1.06
Infobright,Relational,0.79,+0.01,-0.17
NuoDB,Relational,0.79,+0.02,-0.10
Yellowbrick,Relational,0.77,+0.01,-0.11
ZODB,Key-value,0.75,-0.05,-0.11
Alibaba Cloud AnalyticDB for PostgreSQL,Relational,0.75,+0.01,+0.07
Xapian,Search engine,0.75,+0.01,-0.02
Blazegraph,Multi-modelGraph DBMSRDF store,0.75,+0.04,0.00
RisingWave,Relational,0.75,+0.02,+0.17
BigchainDB,Document,0.73,0.00,-0.06
AllegroGraph,Multi-modelDocument storeGraph DBMSRDF storeVector DBMSSpatial DBMS,0.72,+0.02,-0.33
Actian Vector,Relational,0.72,+0.04,-0.02
Model 204,Multivalue,0.72,-0.01,-0.13
SciDB,Multivalue,0.72,+0.01,+0.02
GeoMesa,Spatial,0.72,0.00,-0.06
KeyDB,Key-value,0.71,+0.04,+0.01
eXist-db,Native XML,0.68,-0.01,-0.16
RDF4J,RDF,0.68,-0.01,-0.01
Datacom/DB,Relational,0.67,+0.01,-0.09
CrateDB,Multi-modelDocument storeSpatial DBMSSearch engineTime Series DBMSVector DBMSRelational DBMS,0.67,+0.03,-0.06
SQream DB,Relational,0.65,+0.01,-0.05
Sedna,Native XML,0.63,-0.01,-0.82
YDB,Multi-modelDocument storeRelational DBMS,0.63,+0.06,+0.28
Objectivity/DB,Object oriented,0.62,+0.02,-0.13
BoltDB,Key-value,0.61,+0.03,-0.13
ObjectDB,Object oriented,0.60,0.00,-0.06
Dolt, Relational, Multi-modelRelational DBMSDocument store ,0.60,-0.02,-0.36
TypeDB,Multi-modelGraph DBMSObject oriented DBMSRelational DBMS,0.59,+0.01,-0.06
solidDB,Relational,0.59,+0.00,-0.15
DBISAM,Relational,0.59,+0.04,-0.07
1010data,Relational,0.58,+0.02,-0.18
FrontBase,Relational,0.58,-0.02,-0.07
R:BASE,Relational,0.58,0.00,+0.04
Graph Engine,Multi-modelGraph DBMSKey-value store,0.58,+0.06,-0.04
Harper,Document,0.56,+0.01,+0.02
KairosDB,Time Series,0.56,+0.02,-0.05
SQL.JS,Relational,0.56,+0.01,+0.03
Splice Machine,Relational,0.54,0.00,0.00
Dragonfly,Key-value,0.53,+0.02,+0.11
atoti,Object oriented,0.51,+0.03,-0.04
Apache Doris,Relational,0.51,-0.01,-0.06
Kinetica, Relational, Multi-modelRelational DBMSSpatial DBMSTime Series DBMS ,0.50,+0.03,-0.14
Apache Pinot,Relational,0.50,+0.04,+0.10
Alibaba Cloud Log Service,Search engine,0.49,+0.05,+0.07
WebSphere eXtreme Scale,Key-value,0.48,+0.01,-0.23
Percona Server for MongoDB,Document,0.48,+0.01,-0.05
NexusDB,Relational,0.47,+0.01,-0.10
ITTIA, Time Series, Multi-modelTime Series DBMSRelational DBMS ,0.47,+0.02,+0.08
Fluree,Graph,0.45,+0.02,+0.15
MapDB,Key-value,0.45,-0.01,-0.10
GemStone/S,Object oriented,0.43,-0.01,-0.09
VistaDB,Relational,0.43,+0.01,-0.05
Scalaris,Key-value,0.42,0.00,-0.13
Kingbase, Relational, Multi-modelRelational DBMSDocument storeSpatial DBMS ,0.41,+0.00,-0.04
Apache Sedona,Spatial,0.41,0.00,+0.12
ScaleArc,Relational,0.41,+0.02,-0.06
Deep Lake,Vector,0.41,+0.02,+0.14
Rasdaman,Multivalue,0.39,+0.01,-0.05
OpenInsight,Multivalue,0.39,0.00,-0.02
SearchBlox,Search engine,0.38,+0.04,-0.01
Marqo,Search engine,0.37,+0.01,-0.01
Hibari,Key-value,0.37,+0.02,-0.27
AlaSQL,Multi-modelDocument storeRelational DBMS,0.36,+0.01,-0.10
LokiJS,Document,0.36,+0.02,-0.07
Postgres-XL, Relational, Multi-modelRelational DBMSDocument storeSpatial DBMS ,0.33,-0.02,-0.15
Comdb2,Relational,0.33,+0.00,+0.01
